loda_id;loda_dia;loda_mes;loda_cidade;loda_uf;loda_latitude;loda_longitude
4051;14;5;Lagoa Real;BA;-14.0349564;-42.1452451
4052;14;5;Mirassol D'Oeste;MT;-15.6824559;-58.0986665
4053;14;5;Rondonópolis;MT;-16.4549802;-54.6564537
4054;14;5;Salvador;BA;-12.8661885;-38.4194936
4055;14;5;Rio Sono;TO;-9.3478868;-47.8962077
4056;14;5;Fortaleza;CE;-3.7088643;-38.5729717
4057;14;5;Parauapebas;PA;-6.0790825;-49.9005103
4058;16;5;São João Nepomuceno;MG;-21.5377129;-43.007906
4059;16;5;Goiânia;GO;-16.6014486;-49.3228616
4060;16;5;Igreja Nova;AL;-10.1294179;-36.6541635
4061;16;5;Inhumas;GO;-16.3809634;-49.4877996
4062;16;5;Manaus;AM;-3.0892139;-59.8866456
4063;16;5;Parnamirim;RN;-5.9273301;-35.2888499
4064;16;5;Rio de Janeiro;RJ;-22.8805951;-43.3160374
4065;16;5;Toledo;MG;-22.7436535;-46.3716469
4066;16;5;Maracaçumé;MA;-2.0439865;-45.952786
4067;17;5;Japeri;RJ;-22.6820472;-43.6257792
4068;17;5;Biguaçu;SC;-27.5072759;-48.6423188
4069;17;5;Salvador;BA;-12.9742136;-38.4700676
4070;17;5;Carvalhópolis;MG;-21.7776089;-45.8425554
4071;17;5;Castro;PR;-24.7897234;-50.0182017
4072;17;5;Santarém;PA;-2.4554762;-54.7397753
4073;17;5;Santa Maria;RS;-29.7052469;-53.7223377
4074;18;5;Salvador;BA;-12.9464116;-38.4739906
4075;18;5;Arcoverde;PE;-8.4327874;-37.0644936
4076;18;5;Ponta Porã;MS;-22.5485809;-55.6993147
4077;18;5;Betim;MG;-19.9467793;-44.102994
4078;18;5;Ipu;CE;-4.3279409;-40.7147665
4079;18;5;Itaberaba;BA;-12.5348792;-40.3064567
4080;18;5;João Pessoa;PB;-7.1018715;-34.8611356
4081;18;5;Guarulhos;SP;-23.4446378;-46.4648696
4082;18;5;Aracaju;SE;-10.9038783;-37.1001804
4083;18;5;Bagé;RS;-31.3305608;-54.1138035
4084;18;5;Rio de Janeiro;RJ;-22.9127941;-43.6048567
4085;19;5;São Bernardo do Campo;SP;-23.7269902;-46.5330438
4086;19;5;Bertioga;SP;-23.8324467;-46.1341536
4087;19;5;Riachão das Neves;BA;-11.8209707;-44.7262555
4088;19;5;Estiva Gerbi;SP;-22.2747685;-46.9558242
4089;19;5;São Pedro da Aldeia;RJ;-22.8525592;-42.0395371
4090;19;5;Salvador;BA;-12.9924273;-38.4871354
4091;19;5;São Domingos do Maranhão;MA;-5.5774526;-44.3822222
4092;19;5;Luís Domingues;MA;-1.3329992;-45.8990376
4093;19;5;Barreiras;BA;-12.1460757;-44.9956543
4094;19;5;Formosa da Serra Negra;MA;-6.438232;-46.1861214
4095;19;5;Ciríaco;RS;-28.3432642;-51.8829791
4096;19;5;Guarulhos;SP;-23.4118714;-46.4191986
4097;19;5;Veríssimo;MG;-19.6719741;-48.3071319
4098;19;5;São Paulo;SP;-23.5279499;-46.5269033
4099;19;5;Águas Lindas de Goiás;GO;-15.7148614;-48.2828816
4100;19;5;Vitória;ES;-20.2953749;-40.3479771
4101;20;5;Estrela;RS;-29.5083951;-51.9662894
4102;20;5;Campos dos Goitacazes;RJ;-21.7848395;-41.3310499
4103;20;5;Cajueiro;AL;-9.3995134;-36.153156
4104;20;5;Natal;RN;-5.7803939;-35.1949915
4105;20;5;Piedade;SP;-23.7224627;-47.4165576
4106;20;5;Assis;SP;-22.6630845;-50.3958939
4107;20;5;Guarulhos;SP;-23.4223534;-46.5043751
4108;20;5;Salvador;BA;-12.9698451;-38.4548605
4109;20;5;Taquaritinga do Norte;PE;-7.8995793;-36.0498159
4110;20;5;Teutônia;RS;-29.5150979;-51.8013184
4111;20;5;Morro da Fumaça;SC;-28.6516988;-49.2054374
